videoid,comments
7198720064340692267,And now this is going to be stuck in my head all night 😂😂
7198720064340692267,Straight up facts!😂😂😂😂
7198720064340692267,Lol love it!! 🥰
7198720064340692267,Memories unlocked 😂😂
7198720064340692267,😅😅😅LOVE IT....!!!!
7198720064340692267,😂😂
7198720064340692267,Thank you for this…it made a lot of our day today at work
7198720064340692267,I literally had this in repeat for 10 minutes.
7198720064340692267,😅😅😅yessss
7224752536362814766,eid mubarak to😃
7224752536362814766,mashallah 🥰
7224752536362814766,apko bhi 🥰
7224752536362814766,😋☺️☺️☺️☺️☺️
7224752536362814766,🥰
7224752536362814766,🥰🥰🥰🥰
7224752536362814766,🥰🥰🥰
7224752536362814766,🥰🥰🥰
7224752536362814766,🥰
7205611219942755626,Nah this one I totally disagree. If you allow tantrums these kids will abuse you.
7205611219942755626,Thank you!! tantrum city over here. Just sit it out. Breathe. But fark it's hard. My parents would've wasted me I don't want that for my kids.
7205611219942755626,So what should I do?
7205611219942755626,Ok but give me 3 things to DO when they are having a tantrum
7205611219942755626,Easier said than done. 😭😭😭😭
7205611219942755626,"""They don't have the power to send you over the edge, you have the ability to bring them back!"" That statement right there is powerful!"
7205611219942755626,I saw a video of a dad just being present when his child was having a tantrum. He eventually calmed and they worked through it. It works with my child
7205611219942755626,"They are unable to regulate their emotions alone. Be their sense of calm, always."
7205611219942755626,Ice cream
7205611219942755626,I don’t know my parents told me to fix my attitude before they fixed it for me.
7205611219942755626,Great advice 🙏🏽
7205611219942755626,BS on “Connection.” That’s what makes them comfortable enough to keep doing it
7205611219942755626,"This 🙏🏽
""I hear you, love. You are safe. Tell me when you're ready"" is my go to. And when she is ready, she will talk and tell me what is wrong ❤️"
7205611219942755626,Every parent should read the book The Whole Brain Child. It explains everything this dudes talking about. It’s facts.
7205611219942755626,can we cry with them?
7205611219942755626,couldn't agree more.. my favorite thing to do with my son is take deep breaths together. 100% helps
7205611219942755626,"I find distraction is the key in these moments. It could be as simple as something shiny, or a toy, or an animal out the window. Keep calmly trying."
7205611219942755626,Nah. Hard disagree 😂
7205611219942755626,"""They don't have the power to send you over the edge, but you have the power to bring them back."" ❤️We're the strong part here, be with them ❤️"
7205611219942755626,Kids have big emotions and they don’t know how to handle them! Don’t punish them for having feelings!!!!
7219391068498971947,Mashallah
7219391068498971947,ماشاءالله
7219391068498971947,истинная мечта каждого мусульманина
7219391068498971947,"Ma Sha Allah Umra Mubarak Plz Keep Me In Your Dua's that Allah SWT finds me a beautiful Wife, In Sha Allah Offer my Salaam to Nabi Karim SAW🥰"
7219391068498971947,🥰
7226085155570568494,"""Did you know her parents passed away?"""
7226085155570568494,And name of the movie pls
7226085155570568494,what’s the name of the movie
7226085155570568494,My cousins name is Hannah Scott
7226085155570568494,Remind me
7226085155570568494,@ me for the next one
7226085155570568494,The ending 💀
7226085155570568494,this movie made me cry co much.
7226085155570568494,Next part please
7226085155570568494,@peytonbrannigan HER NAME IS HANNAH SCOTT
7226085155570568494,@hazel_m0
7226085155570568494,Part 3
7226085155570568494,I love this movie
7204773990466866474,what is it called?
7204773990466866474,Good 🥰
7204773990466866474,Great product
7204773990466866474,🥰
7225759716830383403,Everyone knows what he wants 💅
7225759716830383403,he wants a man
7225759716830383403,He wants a Hindi speaker but doesn’t speak it very well 🥴 he’s in denial
7225759716830383403,He doesn’t want to get married and is making up excuses. 😒😡
7225759716830383403,He doesn’t speak Hindi back to her. 🙄
7225759716830383403,Denial is a river in Egypt.
7225759716830383403,he looks like he's at least 55
7225759716830383403,I know hindi swear words 😬
7225759716830383403,he wants a man
7225759716830383403,All of these ladies dodged a bad situation…
7225759716830383403,I dated him briefly. I have an American accent and can speak Hindi but that still wasn’t enough 🤷🏽‍♀️
7225759716830383403,He gets on my nerves 🙄
7225759716830383403,Bro zestier than the onion ring sauce at Burger King 😂
7225759716830383403,“i love bollywood” “i love hindi songs” “i picked up on her being very indian” “i would like someone who doesn’t have an accent”
7225759716830383403,He said the date in the blue felt like an interview… he was the interviewer 🤦🏽‍♀️
7225759716830383403,set weird bar to hide in closet forever 🤭
7225759716830383403,The second girl was tooo sweet and tooo good for him!!!!!
7225759716830383403,someone who speaks Hindi but isn't Indian or have an accent? is he looking for a white girl? like I don't get it 😅
7225759716830383403,So the first girl did not have “the checklist he was looking for” but after the second date he wanted someone who was “more than just a checklist”???
7225759716830383403,'if anyone was a disappointment it's you' 🤣🤣🤣🤣
7225338456983997739,"Plus cost of living in nyc.. I turned down Columbia for this reason too, thank god 🙏🏼"
7225338456983997739,You made the right decision AMEN NO DEBT
7225338456983997739,Rutgers gets a bad rep from people in jersey but it’s an incredible school and a lot of people outside of jersey recognize that!
7225338456983997739,YOU ARE SOO PRETTYYY
7225338456983997739,Columbia masters programs are largely cash cows. They don’t have class in the same way HYP do.
7225338456983997739,you are so smart for this decision and it is not easy to make. you will be successful wherever you go seeing how smart and real you are
7225338456983997739,so happy for you!
7225338456983997739,What do you wanna do career wise
7225338456983997739,currently deciding between rutgers where i have an almost full ride and an expensive t5 school for my major and maybe this is a sign?!
7225338456983997739,go bulls
7225338456983997739,"you love all your classmates, even the one who bailed during that final group representation?! 😭"
7225338456983997739,Rutgers ❤️⚔️🛡️
7225338456983997739,Lol me applying to dental school
7225338456983997739,love it
7225338456983997739,Me but middlebury
7225338456983997739,pls pls talk more about healthcare administration because I want to do that but I am not completely sure yet
7225338456983997739,WHY I TURNED DOWN MY OFFER TO COLUMBIA FOR MY MPH PROGRAM!!!
7225338456983997739,You made the smart choice!
7225338456983997739,part 2?
7225338456983997739,ur grwmies are 👌
7220430042893913387,MEEP MEEP
7220430042893913387,next time have fries for kevin please 😂
7220430042893913387,Should we call you Disney Princess Jake orrrr…?
7220430042893913387,👁️🐥👁️
7220430042893913387,that there be a roadrunner
7220430042893913387,ITS A MEEP MEEP
7220430042893913387,"Wow, never seen a real Roadrunner. Gorgeous 😍😍"
7220430042893913387,The Roadrunner
7220430042893913387,love your new dino friend!
7220430042893913387,Love the Road Runner must be Vegas
7220430042893913387,"Yeah, just try to drive from DFW to Austin without seeing 6 or 7 of them over in the grassland trying to match the speed of the cars on I-35. 😁"
7220430042893913387,meep meep 💨
7220430042893913387,ok this is awesome and I guessed this state right before I even read where it was from also your a Disney princess now lol 😆 😄 😂🤣😂🤣 jk jk
7220430042893913387,he's a road runner 😍
7220430042893913387,🥰🥰🥰🥰🥰someone must be feeding him.
7220430042893913387,Looking for snacks 👀Kevin might be a Melinda? I dunno
7220430042893913387,Kevin wants snacks
7220430042893913387,Road runner????
7220430042893913387,YOU ARE SO LUCKY!!! YOU MUST HAVE THE SOUL OF A SAINT
7220430042893913387,Water maybe?
7225994635683007790,We here at the same time
7225994635683007790,you dont dream when you get put out with anesthesia
7225994635683007790,The «Drugs please» caught me off guard😂
7225994635683007790,Why these comments fresh
7225994635683007790,comments fresh out the oven
7225994635683007790,“thank god”😂
7225994635683007790,Bro cant survive without zaza
7225994635683007790,I went straight to the comments 😂😂
7225994635683007790,Everyone is Here at the Same Time 😂
7225994635683007790,Bro thinks he can take an 11 minute break 💀
7225994635683007790,Early
7225994635683007790,NEXT PART NOW NO BREAK
7225994635683007790,bro thought he can take a 25 minutes break
7225994635683007790,Part 264😅😳
7225994635683007790,sheldon is insane
7225994635683007790,NEXT PARTT
7225994635683007790,who is that dentist he looks so familiar
7225994635683007790,😭 why are we all here
7225994635683007790,girl i can’t cope with being up to date on the tiktok vids HELP
7225994635683007790,2nd and bro thought he can take a 2 minute break 💀
7225885866651127083,ای میوه دانی هایت از کجا گرفتی خواهرک
7225885866651127083,زیات مقبول است چطور خریداری کنم این را از کجا💕
7225885866651127083,از کجا خریدی ای ظرف ها ره خواهر جان؟
7225885866651127083,این بیچاره گپ زده میره همگی فکرش طرف میوه دانی است خواهرک میوه دانی را از کجا خریدی ؟🤦🏼‍♂️😂😂
7225885866651127083,دقیقا محترم🥰
7225885866651127083,🥰🥰
7225885866651127083,خانه تان کجاست که عید مبارکی بیایم اتو دق آوردیم
7225885866651127083,خواهرجان لطفا بگوین ادرس دقیق میوه دانی های تان را بگوین مه خارج از کشور هستم به خواهرم ادرس بتم برن بیگیرن برم
7225885866651127083,ای کاش امی گپ را همگی بفهمد 🥰🥰
7225885866651127083,واو چقدر زیباست
7225885866651127083,دقیقا 🥺
7225885866651127083,🥰🥰🥰🥰🥰🥰
7225885866651127083,E cheqa cute ast era az kuja grfte?
7225885866651127083,بسیار مقبول جور کدین دست تان درد نکند 🥰🥰
7225885866651127083,بسیار قشنگ است خدای من 🤗🤗
7225885866651127083,🥰🥰
7225885866651127083,کاملأ دقیق👌
7225885866651127083,از کجا کدی خوشم آمد
7225885866651127083,دقیقان جانم
7225885866651127083,🥰🥰🥰🥰🥰
7225760079990099242,ronaldo mom never gets along with anybody
7225760079990099242,i thought i was the only one who noticed she has really changed if you watch i am Georgina she has so much pride n treats her friends like servants.
7225760079990099242,"Nah If the 🐐’s mom could marry him, she would. She don’t like no girl near her son so that’s not soy Georgina’s fault 😭"
7225760079990099242,Yeh all she does is show off her luxury yet it’s ronaldos money 😏
7225760079990099242,Ronaldos mom is the problem cos she never get along with any of his girlfriends..
7225760079990099242,"At this point, the mom can marry Cr7. After 4 kids, she still won't get along with the girl?😳 She's past girlfriend stage at this point"
7225760079990099242,I really hope this isn’t real. I think Ronaldo has been through enough already
7225760079990099242,I’ve asked myself why I have never seen pictures of her and Ronaldo’s mom
7225760079990099242,Ronaldo made her
7225760079990099242,Compare this to Messi who’s happily married and settled down with his childhood sweetheart
7225760079990099242,ronaldo’s mom doesn’t get along with any of his gfs it seems 😭😭
7225760079990099242,FINALLY I HAVE A CHANCE WITH RONALDO
7225760079990099242,Ronaldo saw hakimi case and wasn’t gonna fold RESPECT
7225760079990099242,My time to shine
7225760079990099242,It’s my time to shine then 🙏🙏 ( I want Ronaldo)
7225760079990099242,"That’s y bro never wanted to get married , he wanted to see if she would change"
7225760079990099242,VILLIAN ARC 💀
7225760079990099242,Finally!!! After watching her show I am Georgina ITS ABOUT TIME RONALDO SAW HER FOR WHO SHE IS!
7225760079990099242,"If he hasn’t married her this long after she birthed his kids he doesn’t want to marry her period , years later too.. I believe it 🤷🏾‍♀️"
7225760079990099242,Ronaldo can’t keep a relationship 💯 ik my goat 🇦🇷
7212696442106809643,So called Messi fans hating are just kids who just started watching football and just judging from looking at stats and short videos🤦🏽‍♂️
7212696442106809643,ronaldo still hasn’t recovered you won’t know the feeling till it happens to u
7212696442106809643,Ik it bro ik he was struggling mentally I said when Ronaldo was playing last season ik he was struggling that’s why I was concerned
7212696442106809643,My goat❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹
7212696442106809643,ima messi fan but i respect ronaldo n how hard he works
7212696442106809643,Makes sense why he fell off so hard after the 21/22 season
7212696442106809643,😢😢 poor Ronaldo he will win a World Cup
7212696442106809643,I’m a Messi fan but I give all my respect to Ronaldo for how hard he has worked ❤️‍🩹
7212696442106809643,Forever my GOAT
7212696442106809643,Damn a hat trick
7212696442106809643,@GOAL why🥺
7212696442106809643,Bro fax people are roasting him even at my school but at least he is the goat😎
7212696442106809643,As a messi fan this is sad and the media kept saying sh!t about him and knowing what they are going through
7212696442106809643,he was drinking
7212696442106809643,Am a Messi fan but this hurts
7212696442106809643,Bro my name is Angel
7212696442106809643,no one is bigger than the sport show respect
7212696442106809643,I lost 16
7212696442106809643,they need to get married. sorry for them
7212696442106809643,Messi better
7207166909480160558,A whole lot of talking but didnt say ishh
7207166909480160558,"I hire em per jah, whats the benefe of doin it like dah, the benefe of doin it like dah."
7207166909480160558,It literally doesn’t make any sense either way if one of his employees mess up they’re always gonna want to speak to a manager or the owner lol
7207166909480160558,he doesn't even know what he's talking about
7207166909480160558,ya sure 1099 taxes that probably why
7207166909480160558,W-2 employee Vs W-9 contractor
7207166909480160558,😂😂😂😂
7207166909480160558,He keeps more money
7207166909480160558,I do the same
7207166909480160558,omg so what if we finish it in 4 hours??
7207166909480160558,😂
7207166909480160558,It’s still on you not them
7207166909480160558,Said a whole lotta nothin
7207166909480160558,he just saying he no longer has employees they are subcontractors
7207166909480160558,Basically he’s the middle man
7207166909480160558,Maybe cuz I don’t know…I don’t think either know 😅 I feel like I’m hearing my lil cousins talk
7207166909480160558,He’s got a future in politics
